species_ch,species_en,assemble,authority,gene_id,gene_name,download_url
ÂÖÖ¦¾ú,Verticillium_dahliae,vdls.17_1,public,VDAG_04933,null,
ÜòÜß,Wolfiporia_cocos,MD-104_SS10_v1.0,public,gene_9999,jgi.p|Wolco1|80981,http://genome.jgi-psf.org/programs/fungi/index.jsf
ÌÒ,Prunus_persica,v1.0,public,ppb025597m.g,null,ftp://ftp.bioinfo.wsu.edu/species/Prunus_persica/Prunus_persica-genome.v1.0/
±¾ÉúÑÌ²Ý,Nicotiana_benthamiana,v0.4.4,public,NbS00062266g0001,null,ftp://ftp.solgenomics.net/genomes/Nicotiana_benthamiana/
ÑÌ²Ý,Nicotiana_tabacum,Ntab-K326,public,gene_9999,null,ftp://ftp.solgenomics.net/genomes/Nicotiana_tabacum/
â¨ºïÌÒ,Actinidia_chinensis,v1.0,public,Achn391201,null,ftp://bioinfo.bti.cornell.edu/pub/kiwifruit
Ã«¹ûÑî,Populus_trichocarpa,demo,public,Potri.T169900.v3.0,Potri.T169900,
À±½·,Capsicum_annuum,PGAv.1.5,public,CA12g22370,null,http://peppergenome.snu.ac.kr/download.php
À±½·,Capsicum_annuum,Zunla-1_v2.0,public,Capana12g002926,null,http://peppersequence.genomics.cn/page/species/download.jsp
°ß³á¹ûÓ¬,Drosophila_suzukii,v1,public,DS10_00680001,null,http://spottedwingflybase.oregonstate.edu/
â¨ºï,Macaca_mulatta,MMUL_1,public,ENSMMUG00000032626,HIST2H3D,ftp://ftp.ensembl.org/pub/release-84/fasta/macaca_mulatta/dna/
Ê³Ð·ºï,Macaca_fascicularis,MacFas_5.0,public,ENSMFAG00000046427,CYTB,"ftp://ftp.ensembl.org/pub/release-92/fasta/macaca_fascicularis/dna/Macaca_fascicularis.Macaca_fascicularis_5.0.dna.toplevel.fa.gz,ftp://ftp.ensembl.org/pub/release-92/gff3/macaca_fascicularis/Macaca_fascicularis.Macaca_fascicularis_5.0.92.gff3.gz"
Âé·èÊ÷,Jatropha_curcas,v4.5,public,Jcr4U39275.10,null,ftp://ftp.kazusa.or.jp/pub/jatropha/
ÈÞÉ½Ñò,Capra_hircus,GCF_000317765.1_CHIR_1.0,public,gene25775,LOC102176415,
ºúÂÜ²·,Daucus_carota,ASM162521v1,public,gene33501,DCAR_032463,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001625215.1_ASM162521v1/
ÄâÄÏ½æ,Arabidopsis_thaliana,TAIR10,public,ATMG01410,ORF204,ftp://ftp.ensemblgenomes.org/pub/plants/release-25/fasta/arabidopsis_thaliana/
Ë®µ¾,Oryza_sativa,IRGSP-1.0,public,Os12g0641500,null,"ftp://ftp.ensemblgenomes.org/pub/plants/release-24/fasta/oryza_sativa/,http://rapdb.dna.affrc.go.jp/download/archive/RAP-MSU_2016-08-05.txt.gz"
Ë®µ¾,Oryza_sativa,MSU_v7.0,public,ChrSy.fgenesh.gene.89,null,"ftp://ftp.plantbiology.msu.edu/pub/data/Eukaryotic_Projects/o_sativa/annotation_dbs/pseudomolecules/version_7.0/all.dir/,http://rapdb.dna.affrc.go.jp/download/archive/RAP-MSU_2016-08-05.txt.gz"
Ð¡ÐÂ¿ÇËóæß¾ú,Neofusicoccum_parvum_UCRNP2,UCRNP2,public,UCRNP2_1,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000385595.1_UCRNP2V3
ÓÍéÏé­,Olea_europaea,Oe6,public,OE6A057533,null,http://denovo.cnag.cat/genomes/olive/
À×ÃÉµÂÊÏÃÞ,Gossypium_raimondii,v2.0,public,gene9527,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000327365.1_Graimondii2_0
À×ÃÉµÂÊÏÃÞ,Gossypium_raimondii,v2.1,public,Gorai.N028200.v2.1,null,https://www.cottongen.org/species/Gossypium_raimondii/jgi_genome_221
ÐÜÃ¨,Ailuropoda_melanoleuca,ailMel1,public,gene7415,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000004335.2_AilMel_1.0
Ïð½ºÊ÷,Hevea_brasiliensis,ASM165405v1,public,scaffold7764_480,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001654055.1_ASM165405v1/GCA_001654055.1_ASM165405v1_genomic.fna.gz
¼Ò²Ï,Bombyx_mori,ASM15162v1,public,BGIBMGA014535,null,ftp://ftp.ensemblgenomes.org/pub/metazoa/release-24/fasta/bombyx_mori/
¼Ò²Ï,Bombyx_mori,v2.0,public,Bm_scaffold975_1,null,
ËÉ²ÄÏß³æ,Bursaphelenchus_xylophilus,v1.2,public,BUX.gene.c09995.1,null,"ftp://ftp.sanger.ac.uk/pub/pathogens/Bursaphelenchus/xylophilus/Assembly-v1.2/BurXv1.2.supercontigs.fa.gz,ftp://ftp.sanger.ac.uk/pub/pathogens/Bursaphelenchus/xylophilus/Assembly-v1.2/BUX.v1.2.phase_correct.gff3.gz"
Ð¡Âó,Triticum_aestivum,TGACv1,public,TRIAE_CS42_U_TGACv1_735243_AA2174390,null,
¹È×Ó,Setaria_italica,v2.2,public,Seita.J027000,null,https://phytozome.jgi.doe.gov/pz/portal.html#%21info?alias=Org_Sitalica_er
ÈÈ´øÄîÖé¾úMYA-3404,Candida_tropicalis_MYA-3404,ASM633v2,public,CTRG_05771,null,ftp://ftp.ensemblgenomes.org/pub/release-32/fungi/fasta/fungi_ascomycota1_collection/candida_tropicalis_mya_3404/dna/Candida_tropicalis_mya_3404.ASM633v2.dna.toplevel.fa.gz
±ÍÂé,Ricinus_communis,v0.1,public,60639.t00002.TIGRR0.1,null,
ºÉ»¨,Nelumbo_nucifera,v1,public,NNU_26685,null,http://lotus-db.wbgcas.cn/genome_download
Âé·èÊ÷,Jatropha_curcas,JatCur_1.0,public,gene27171,null,
ÄáÂÞÂÞ·ÇÓã,Oreochromis_niloticus,Orenil1.0,public,ENSONIG00000020667,null,
ÑÁ³æ,Acyrthosiphon_pisum,GCA_000142985.2,public,ACYPI089300,null,ftp://ftp.ensemblgenomes.org/pub/release-32/metazoa/fasta/acyrthosiphon_pisum/dna/
ÓñÃ×,Zea_mays,B73_RefGen_v4,public,Zm00001d000233,null,ftp://ftp.ensemblgenomes.org/pub/release-32/plants/fasta/zea_mays/dna
ºÚ½æ,Brassica_nigra,BniBv1,public,BniB033726,null,
½æ²Ë,Brassica_juncea,BjuABv1,public,BjuA002066,null,
µ¤²Î,Salvia_miltiorrhiza,ndctcm,public,SMil_00012983,null,"ftp://danshen.ndctcm.org:10322,http://www.ndctcm.org/shujukujieshao/2015-04-23/27.html"
ÈÞÉ½Ñò,Capra_hircus,ASM170441v1,public,gene28901,LOC108635563,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/704/415/GCF_001704415.1_ASM170441v1/GCF_001704415.1_ASM170441v1_genomic.fna.gz
´©É½¼×,Manis_javanica,ManJav1.0,public,gene9999,LOC108398258,
ÁøÊ÷,Salix_purpurea,v1.0,public,SapurV1A.9265s0010.v1.0,SapurV1A.9265s0010,https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Spurpurea
ºúÑî,Populus_euphratica,PopEup_1.0,public,gene9999,LOC105127275,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/495/115/GCF_000495115.1_PopEup_1.0
»ð¾æËÉ,Pinus_taeda,v1.01,public,PITAhm_002178,null,http://dendrome.ucdavis.edu/ftp/Genome_Data/genome/pinerefseq/Pita/v1.01/
º£µºÃÞ,Gossypium_barbadense,v1,public,GOBAR_AA21642,null,http://database.chgc.sh.cn/cotton/index.html;
·¬ÇÑ,Solanum_lycopersicum,SL2.50,public,Solyc09g098770.1,null,ftp://ftp.ensemblgenomes.org/pub/release-32/plants/fasta/solanum_lycopersicum/dna
"ôÌµ¾,Ë®µ¾",Oryza_sativa,ASM465v1,public,BGIOSGA040249,null,http://plants.ensembl.org/Oryza_indica/Info/Index
"ôÌµ¾,Ë®µ¾,",Oryza_sativa,Zhenshan_97,public,ZSUN02g0012400,null,http://rice.hzau.edu.cn/rice/
"ôÌµ¾,Ë®µ¾,",Oryza_sativa,Minghui_63,public,MHUN02g0012500,null,http://rice.hzau.edu.cn/rice/
°×Àæ,Pyrus_x_bretschneideri,Pbr_v1.0,public,gene42192,LOC103942947,https://www.ncbi.nlm.nih.gov/assembly/GCF_000315295.1/
ÁøÖ¦ð¢,Panicum_virgatum,v1.1,public,Pavir.J41128.v1.1,Pavir.J41128,http://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=PhytozomeV11
¸ÊÊí,Ipomoea_batatas,v1,public,Tai6.44714,null,http://public-genomes-ngs.molgen.mpg.de/SweetPotato/DOWNLOADS/
Ò°êóÅ£,Bos_mutus,v2.0,public,gene21719,M91_21646,http://www.ncbi.nlm.nih.gov/genome/?term=yak
¼¦,Gallus_gallus,Gallus_gallus_5.0,public,gene26626,LOC100858934,https://www.ncbi.nlm.nih.gov/assembly/GCF_000002315.4/
ÌÒ,Prunus_persica,v2.0,public,Prupe.I006200.v2.1,null,http://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=Ppersica
¹·Î²²Ý,Setaria_viridis,v1.1,public,Sevir.J017500.v1.1,null,https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Sviridis
¼¬°ûÄ¾Ã¹,Trichoderma_asperellum,CBS_433.97_v1.0,public,gene_14680,null,http://genome.jgi.doe.gov/Trias1/Trias1.home.html
¸¥±È¶÷±Ï³à½ÍÄ¸,Cyberlindnera_fabianii,ASM198330v1,public,gene5508,BON22_5508,https://www.ncbi.nlm.nih.gov/assembly/GCA_001983305.1
¶«·½ÒÁÈø½ÍÄ¸,Pichia_kudriavzevii,ASM198332v1,public,gene5469,BOH78_5480,https://www.ncbi.nlm.nih.gov/assembly/GCA_001983325.1
Ã«Öñ,Phyllostachys_edulis,v1.0,public,PH01278104G0010,null,http://202.127.18.221/bamboo/
ÑòÍÕ,Vicugna_pacos,Vicugna_pacos2.0.2,public,gene25065,LOC102528694,https://www.ncbi.nlm.nih.gov/assembly/GCF_000164845.2
´óÂó,Hordeum_vulgare,ASM32608v1,public,MLOC_82077,null,http://plants.ensembl.org/Hordeum_vulgare/Info/Annotation/#assembly
ó¸òÜ,Xenopus_laevis,v9.1,public,Xelaev18047995m.g,null,http://www.xenbase.org/other/static/ftpDatafiles.jsp
×¦ó¸,Xenopus_tropicalis,v9.0,public,Xetrov90031008m.g,null,http://www.xenbase.org/other/static/ftpDatafiles.jsp
ÁúÑÛ,Dimocarpus_longan,v1,public,dlo_037756.1.gene,null,ftp://climb.genomics.cn/pub/10.5524/100001_101000/100276/
´ó¶¹,Glycine_max,V1.0,public,GLYMA0121S00240,null,ftp://ftp.ensemblgenomes.org/pub/plants/release-25/fasta/glycine_max/
ÑÁ³æ,Acyrthosiphon_pisum,Acyr_2.0,public,gene20944,LOC103311809,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/985/GCF_000142985.2_Acyr_2.0/GCF_000142985.2_Acyr_2.0_genomic.fna.gz
°ßÂíÓã,Danio_rerio,GRCz10,public,gene9998,LOC103910773,
ÖÇÈË,Homo_sapiens,GRCh37,public,ENSG00000269464,AC012067.1,http://grch37.ensembl.org/Homo_sapiens/Info/Annotation#assembly
ÇàÃ¹¾ú,Penicillium_digitatum_PHI26,PdigPHI26_v1,public,EKV06607.1,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000315665.1_PdigPHI26_v1
»ÆÇúÃ¹,Aspergillus_flavus,JCVI-afl1-v2.0,public,CADAFLAG00013487,AFLA_012560,http://fungi.ensembl.org/index.html
³öÑ¿¶Ì¹£Ã¹¾ú,Aureobasidium_pullulans,EXF.150,public,gene9999,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000721785.1_Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0
ÒÁÎÃ,Aedes_aegypti,AaegL3,public,AaeL_AAEL014075,null,https://funcgen.vectorbase.org/downloads
¼Ò¶ì,Anser_cygnoides,v1.0,public,ACY_016022,null,
·ïÀæ,Ananas_comosus,v3,public,Aco030726.v3,null,http://genome.jgi.doe.gov/pages/dynamicOrganismDownload.jsf?organism=PhytozomeV10
Âä»¨Éú,Arachis_ipaensis,K30076,public,Araip.KYH60,null,http://peanutbase.org/files/genomes/Arachis_ipaensis/annotation/
Ó¥×ì¶¹,Cicer_arietinum,ASM33114v1,public,gene27780,LOC101498847,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/145/GCF_000331145.1_ASM33114v1
Àð,Cyprinus_carpio,v1.0,public,cycg042813,null,http://www.carpbase.org/download_home.php
ºÚ¸¹¹ûÓ¬,Drosophila_melanogaster,v1,public,DS10_00680001,null,http://spottedwingflybase.oregonstate.edu/
Ïã½¶,Musa_acuminata,ASM31385v1,public,gene33419,LOC103975221,
Ïã½¶,Musa_acuminata,PKWv1,public,ITC1587_BchrUn_random_G39913,null,http://banana-genome.cirad.fr/content/musa-balbisiana-pisang-klutuk--wulung
ºÖ¼ÒÊó,Rattus_norvegicus,Rn_Celera,public,gene9999,Try10,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000002265.2_Rn_Celera/
°×·Û¾ú ,Blumeria_graminis,96224,public,gene999,BGT96224_762,http://www.ncbi.nlm.nih.gov/assembly/GCA_000418435.1/
ÇàÃ¹¾ú,Penicillium_digitatum,PHI26_v1,public,EKV06607.1,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000315665.1_PdigPHI26_v1
ÓñÃ×´ó°ß²¡¾úEt28A,Setosphaeria_turcica,Et28A_v1.0,public,gene9999,null,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000359705.1_Setospaeria_trucica_Et28A_v1.0/
ºËÅÌ¾ú,Sclerotinia_sclerotiorum,ASM14694v1,public,gene14636,SS1G_14522,https://www.ncbi.nlm.nih.gov/assembly/GCF_000146945.1/
ÐãÀöÒþ¸ËÏß³æ,Caenorhabditis_elegans,WBcel235,public,gene9999,pho-9,
Á´¸ñæß,Alternaria_alternata,Altal1,public,gene13576,CC77DRAFT_1015022,https://www.ncbi.nlm.nih.gov/assembly/GCF_001642055.1/
ºÖ·ÉÊ­,Nilaparvata_lugens,insect.v1,public,BPHOGS10036724,null,http://www.insect-genome.com/data/download.php
Ã«¹ûÑî,Populus_trichocarpa,Poptr2_0,public,gene38815,null,https://www.ncbi.nlm.nih.gov/assembly/GCF_000002775.3/
Á´¸ñæß¾ú,Alternaria_alternata,ATCC66891,public,AAT_PG11635,AATCTG00499.jigsaw-gene.32,http://alternaria.vbi.vt.edu/index.html
²èÊ÷,Camellia_sinensis,v1,public,CSA029576,null,http://www.plantkingdomgdb.com/tea_tree/
Â«Ëñ,Asparagus_officinalis,Aspof.V1,public,gene32235,LOC109828750,https://www.ncbi.nlm.nih.gov/assembly/GCF_001876935.1/
¸ÌéÙ,Citrus_sinensis,v2,public,orange1.1t06073,null,http://citrus.hzau.edu.cn/orange/download/index.php
±¾ºËÅÌ¾ú,Sclerotinia_sclerotiorum,ASM185786v1,public,gene11367,sscle_16g111300,https://www.ncbi.nlm.nih.gov/assembly/GCA_001857865.1/
´óÊó,Rattus_norvegicus,Rnor_6.0,public,ENSRNOG00000062165,Rn60_3_0143.1,ftp://ftp.ensembl.org/pub/release-85/fasta/rattus_norvegicus/
°ßÂíÓã,Danio_rerio,GRCz10.87,public,ENSDARG00000105838,or137-5,ftp://ftp.ensembl.org/pub/release-87/gtf/danio_rerio/
Ð¡Âó,Triticum_aestivum,IWGSC_RefSeq_v1.0,public,TraesCSU01G272900,null,"https://urgi.versailles.inra.fr/download/iwgsc/IWGSC_RefSeq_Assemblies/v1.0/,https://urgi.versailles.inra.fr/download/iwgsc/IWGSC_RefSeq_Annotations/v1.0/?C=S;O=D"
Ö¥Âé,Sesamum_indicum,S_indicum_v1.0,public,gene26531,LOC105155357,https://www.ncbi.nlm.nih.gov/genome/11560?genome_assembly_id=49670
Ö¥Âé,Sesamum_indicum,v1.0,public,SIN_1000020,null,http://ocri-genomics.org/Sinbase/download/Sesamum_indicum_GA_pseudomolecules_unanchored_v1.0.tar.gz
Ë®µ¾,Oryza_sativa,R498,public,OsR498G1120779000.01,null,http://www.mbkbase.org/R498/
ÖÐ¹úÄÏ¹Ï,Cucurbita_moschata,v1,public,CmoCh20G011890,null,
